Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP
Kingdom of Eswatini,1971,0.397943006,0.0,0.397943006,0,0.227342338,0.0,0.0,0.003189042,9.315,0.368,0.153,0.491
Ethiopia,1971,4.757909606,0.6059573,4.757303649,0,1.325740061,0.0,0.069520128,0.143394921,2.944,0.133,0.05,0.045
Gabon,1971,3.887662909,3261.067167,0.626595742,0,0.47694185,0.0,0.204672483,0.025511135,10.606,0.129,0.065,0.779
Ghana,1971,2.52304513,0.6642863,2.522380844,0,1.951280171,0.0,0.16140298,0.133880931,15.264,0.185,0.063,0.21
Kenya,1971,4.224371092,1.6108205,4.222760271,0.204709715,3.115170504,0.0,1.488343337,0.580379826,14.262,0.281,0.112,0.272
Libya,1971,118.3098573,113070.4296,5.239427746,0,1.633862871,3.570249275,0.0093345,0.271056562,78.697,0.069,0.025,2.643
Madagascar,1971,1.086274837,0.0,1.086274837,0,0.724749897,0.0,0.273018219,0.018446928,12.465,0.123,0.037,0.104
Mauritius,1971,,,0.292688037,0,0.264050174,0.0,0.054253801,0.06696688,17.137,0.198,0.095,0.312
Morocco,1971,6.911917725,25.438185,6.88647954,1.204949895,5.34883085,0.101533431,0.242398461,0.350567388,53.176,0.358,0.147,0.42
Mozambique,1971,4.528599458,62.6960338,4.465903424,1.491099892,1.469116086,0.0,0.764150621,0.117989151,10.101,0.913,0.417,0.34
Namibia,1971,,0.0,,,,,,,,,,
Niger,1971,0.42282071,0.0,0.42282071,0,0.186693824,0.0,0.0,0.0,6.089,0.051,0.021,0.038
Nigeria,1971,80.30072517,63708.48256,16.59224261,0.520855972,4.86113775,0.40487025,0.015557392,0.245333505,4.104,0.055,0.028,0.1
Rwanda,1971,0.814048081,0.0,0.814048081,0,0.062017461,0.0,0.0,0.003075586,0.329,0.048,0.02,0.015
Senegal,1971,1.393560358,1.2636043,1.392296754,0,1.231316225,0.0,3.017021164,0.302786688,23.381,0.26,0.107,0.27
South Africa,1971,168.1529264,7674.634258,160.4782922,130.6829035,28.32138754,0.0,10.92203575,0.53430681,82.602,1.317,0.601,6.822
South Sudan,1971,,0.0,,,,,,,,,,
Sudan,1971,4.037475729,1.5945495,4.03588118,0,3.25892776,0.0,0.0,0.339995575,10.922,0.163,0.08,0.213
United Rep. of Tanzania,1971,2.469196817,0.606508,2.468590309,0,1.423501768,0.0,0.053380283,0.08588861,7.504,0.209,0.084,0.1
Togo,1971,0.4726184293,0.1239963,0.472494433,0,0.348639014,0.0,0.0,0.0,11.286,0.2,0.082,0.152
Tunisia,1971,5.480431627,1606.941653,3.873489974,0.293977129,3.460411889,0.002122799,0.060670844,0.388992883,53.67,0.562,0.213,0.718
Uganda,1971,1.962666773,0.0,1.962666773,0,0.813858602,0.0,0.0,0.26786752,4.105,2.073,0.72,0.075
Zambia,1971,,,3.929958193,2.025628634,1.379846972,0.0,0.0,0.04406275,21.824,0.606,0.236,0.765
Zimbabwe,1971,,,8.441457405,5.821656382,1.529900045,0.0,0.0,0.08588861,31.816,1.269,0.684,1.351
Other Africa,1971,,,10.90666796,0.112742928,5.646971132,0.0,2.960002784,0.325267874,8.211,0.214,0.09,0.131
Bangladesh,1971,4.613288024,91.2686185,4.522019405,0.372997136,2.218336105,0.309054475,0.065438089,0.060430303,12.096,0.075,0.026,0.042
Brunei Darussalam,1971,8.880274005,8476.578555,0.40369545,0,0.172466193,0.228892638,0.0,0.003189042,53.624,0.072,0.036,2.864
Cambodia,1971,,,,,,,,,,,,
DPR of Korea,1971,,,69.66453319,67.19181451,2.388167557,0.0,0.0,0.0,84.812,7.985,2.21,4.482
India,1971,215.5799116,10730.60298,204.8493087,128.2389413,53.3398778,1.024008226,0.718163651,1.692030394,32.494,0.943,0.283,0.317
Indonesia,1971,53.68414619,19064.26408,34.61988211,0.531658549,24.85287791,0.10188727,0.708046708,0.165822679,17.179,0.349,0.114,0.213
Lao People's Democratic Republic,1971,,,,,,,,,,,,
Malaysia,1971,28.02881119,1719.46717,26.30934402,13.16037019,12.88446068,0.014838382,0.10929839,0.420300059,102.221,1.24,0.498,2.449
Mongolia,1971,,,,,,,,,,,,
Myanmar,1971,,,6.625537936,0.566644328,3.878422369,0.115693474,0.006417043,0.025405471,13.632,0.972,0.267,0.162
Nepal,1971,,,1.496141662,0.028727641,0.16377559,0.0,0.0,0.009566825,1.242,0.047,0.014,0.015
Pakistan,1971,20.50298628,973.7194225,19.52926686,2.602768935,8.563418165,4.887424252,0.291601701,1.139099136,22.247,0.435,0.133,0.261
Philippines,1971,26.35263031,8.08928,26.34454103,0.04978095,24.23316836,0.0,1.308633694,0.709404743,37.645,0.444,0.185,0.624
Singapore,1971,,,6.116192583,0.017674244,6.047722598,0.047145111,8.979678251,0.704112189,53.005,0.371,0.238,2.868
Sri Lanka,1971,,,3.679131754,0.006074152,2.793644593,0.0,1.20131664,0.0,17.342,0.299,0.099,0.216
Chinese Taipei,1971,,,30.22306075,10.34271624,18.31506498,1.565279528,0.398276736,1.418357775,71.291,1.076,0.522,1.965
Thailand,1971,17.63624705,12.137905,17.62410915,0.476881333,16.08575574,0.0,0.212556289,1.144233007,28.481,0.456,0.168,0.445
Viet Nam,1971,19.64531509,830.769655,18.81454544,5.767945203,10.75836149,0.0,0.0,6.976649855,29.429,0.741,0.253,0.38
Other Asia,1971,,,11.58893873,4.538450183,5.73435574,0.46083053,0.572979874,0.395370667,44.662,0.387,0.206,0.394
People's Rep. of China,1971,900.9033828,45807.0339,855.0963489,677.1949443,114.3927467,7.368577125,2.408285421,0.0,47.648,3.116,1.937,0.928
"Hong Kong, China",1971,,,9.286440021,0.101027172,9.129644825,0.052341269,1.997307182,1.42543843,74.264,0.32,0.241,2.282
"China (incl. Hong Kong, China)",1971,910.1898229,45807.0339,864.382789,677.2959715,123.5223915,7.420918394,4.405592603,1.42543843,47.848,2.827,1.789,0.934
Argentina,1971,99.26713286,16519.98008,82.74715278,3.823525119,67.49541805,11.19258464,0.891412419,0.685613409,60.739,0.318,0.237,3.374
Bolivia,1971,10.58440185,8351.634057,2.232767794,0,2.076563635,0.095569895,0.0,0.0,50.021,0.434,0.185,0.456
Brazil,1971,102.8109078,4133.030025,98.67787774,6.069098706,82.27429521,0.512350546,1.007399451,0.0,29.936,0.253,0.151,0.886
Cuba,1971,21.28754934,32.7380305,21.25481131,0.409676197,20.49709523,0.076759543,0.0,0.269706465,47.398,0.829,0.267,2.306
Curaçao,1971,,,14.5864347,0,14.5864347,0.0,7.788793351,0.155780074,63.375,11.173,8.883,90.151
Dominican Republic,1971,,,3.727117683,0,3.533883006,0.0,0.0,0.079722448,35.566,0.396,0.186,0.758
Ecuador,1971,4.107823598,182.6442753,3.925179323,0,3.55819391,0.0,0.280033053,0.274245304,37.314,0.184,0.102,0.55
El Salvador,1971,,,1.727494536,0,1.32216845,0.0,0.0,0.035077961,17.782,0.12,0.058,0.352
Guatemala,1971,,,2.902172657,0,2.290305877,0.0,0.181818692,0.152696996,19.774,0.158,0.077,0.405
Guyana,1971,1.548244016,0.0,1.548244016,0,1.510518886,0.0,0.0,0.022322393,45.791,0.671,0.334,2.102
Haiti,1971,,,0.784739242,0,0.38352359,0.0,0.0,0.019133352,5.046,0.055,0.025,0.079
Honduras,1971,,,1.45919925,0,1.138234361,0.0,0.0,0.022322393,19.309,0.273,0.13,0.392
Jamaica,1971,,,7.765943716,0,7.730835904,0.0,0.270698877,0.420934931,64.898,0.797,0.445,4.067
Nicaragua,1971,,,1.71031606,0,1.510123154,0.0,0.0,0.054211312,29.268,0.248,0.096,0.59
Panama,1971,,,2.63870603,0.005012505,2.530304453,0.0,1.647040243,0.436879241,36.143,0.357,0.192,1.607
Paraguay,1971,0.8914489185,0.2281905,0.891220728,0,0.58136636,0.0,0.0,0.031875149,9.967,0.105,0.05,0.232
Peru,1971,20.37808323,3748.178165,16.62990507,0.580020164,14.3633427,0.64086402,0.074675675,0.51979073,40.275,0.303,0.163,1.106
Suriname,1971,,,,,,,,,,,,
Trinidad and Tobago,1971,11.36220898,5957.528468,5.404680517,0,2.596909315,2.800485049,5.176582467,0.213656208,48.612,0.877,0.583,5.369
Uruguay,1971,5.161407277,1.1838835,5.160223394,0.066999074,4.967908185,0.0,0.265151458,0.0,50.1,0.249,0.192,1.775
